sample_id,kingdom,phylum,phylum_read_raw,phylum_read_index,phylum_pa,class,class_read_raw,class_read_index,class_pa,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,species,species_read_raw,species_read_index,species_pa,terrestrial,holoplankton
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Acartiidae,6783,0.13713440882075956,1,Acartia,6783,0.13713440882075956,1,Acartia longiremis,6783,0.13785184432476374,1,0,1
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Clausocalanidae,39928,0.8352476619158952,1,Pseudocalanus,39928,0.8352476619158952,1,Pseudocalanus mimus,39385,0.8004267858957423,1,0,1
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Scyphozoa,0,0,0,Semaeostomeae,0,0,0,Phacellophoridae,0,0,0,Phacellophora,0,0,0,Phacellophora camtschatica,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Hydrozoa,636,0.014910384651711125,1,Leptothecata,636,0.014925886113854113,1,Campanulariidae,0,0,0,Clytia,0,0,0,Clytia gracilis,0,0,0,0,0
GH001,Animalia,Echinodermata,0,0,0,Echinoidea,0,0,0,Camarodonta,0,0,0,Strongylocentrotidae,0,0,0,Mesocentrotus,0,0,0,Mesocentrotus franciscanus,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Nereididae,0,0,0,Platynereis,0,0,0,Platynereis bicanaliculata,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Centropagidae,0,0,0,Centropages,0,0,0,Centropages abdominalis,0,0,0,0,1
GH001,Animalia,Platyhelminthes,0,0,0,NA,0,NA,NA,Dolichomicrostomida,0,0,0,Microstomidae,0,0,0,Microstomum,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Clausocalanidae,39928,0.8352476619158952,1,Pseudocalanus,39928,0.8352476619158952,1,NA,354,NA,NA,0,1
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Cyclopoida,721,0.014548316148429144,1,Corycaeidae,721,0.019183676482586325,1,Ditrichocorycaeus,721,0.019183676482586325,1,Ditrichocorycaeus anglicus,721,0.01932169134845027,1,0,1
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Bivalvia,649,0.025589959352476325,1,Adapedonta,0,0,0,Hiatellidae,0,0,0,Panopea,0,0,0,Panopea generosa,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Maxillopoda,0,0,0,Sessilia,0,0,0,Balanidae,0,0,0,Balanus,0,0,0,Balanus crenatus,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Hydrozoa,636,0.014910384651711125,1,Siphonophorae,0,0,0,Diphyidae,0,0,0,Muggiaea,0,0,0,Muggiaea atlantica,0,0,0,0,1
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Bivalvia,649,0.025589959352476325,1,Mytilida,0,0,0,Mytilidae,0,0,0,Mytilus,0,0,0,Mytilus trossulus,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Nereididae,0,0,0,Alitta,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Cyclopoida,721,0.014548316148429144,1,Oithonidae,0,0,0,Oithona,0,0,0,NA,354,NA,NA,0,1
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Branchiopoda,21,7.691674768348022e-4,1,Diplostraca,21,7.691674768348022e-4,1,Podonidae,21,7.691674768348022e-4,1,Evadne,21,7.691674768348022e-4,1,Evadne nordmanni,21,5.235928289158588e-4,1,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Terebellida,0,0,0,Cirratulidae,0,0,0,Dodecaceria,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Sabellida,0,0,0,Sabellidae,0,0,0,Chone,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Gastropoda,0,0,0,Trochida,0,0,0,Tegulidae,0,0,0,Tegula,0,0,0,Tegula pulligo,0,0,0,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Bivalvia,649,0.025589959352476325,1,Venerida,528,0.112880090200446,1,Veneridae,528,0.112880090200446,1,Humilaria,72,0.01539273957278809,1,Humilaria kennerleyi,72,0.013818940668829511,1,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Terebellida,0,0,0,Terebellidae,0,0,0,Eupolymnia,0,0,0,Eupolymnia heterobranchia,0,0,0,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Gastropoda,0,0,0,Cephalaspidea,0,0,0,Haminoeidae,0,0,0,Haminoea,0,0,0,Haminoea vesicula,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Maxillopoda,0,0,0,Sessilia,0,0,0,Chthamalidae,0,0,0,Chthamalus,0,0,0,Chthamalus dalli,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Glyceridae,0,0,0,Hemipodia,0,0,0,Hemipodia simplex,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Maxillopoda,0,0,0,Sessilia,0,0,0,Chthamalidae,0,0,0,Chthamalus,0,0,0,Chthamalus fragilis,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Syllidae,0,0,0,Typosyllis,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Hydrozoa,636,0.014910384651711125,1,Leptothecata,636,0.014925886113854113,1,Aequoreidae,0,0,0,Aequorea,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Spionida,0,0,0,Spionidae,0,0,0,Scolelepis,0,0,0,Scolelepis squamata,0,0,0,0,0
GH001,Animalia,Echinodermata,0,0,0,Asteroidea,0,0,0,Valvatida,0,0,0,Asterinidae,0,0,0,Patiria,0,0,0,Patiria miniata,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Hydrozoa,636,0.014910384651711125,1,Leptothecata,636,0.014925886113854113,1,Campanulariidae,0,0,0,Clytia,0,0,0,Clytia gregaria,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Hesionidae,0,0,0,Micropodarke,0,0,0,Micropodarke dubia,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Branchiopoda,21,7.691674768348022e-4,1,Diplostraca,21,7.691674768348022e-4,1,Podonidae,21,7.691674768348022e-4,1,Podon,0,0,0,Podon leuckartii,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Paracalanidae,354,0.031235008250562694,1,Paracalanus,354,0.031235008250562694,1,NA,354,NA,NA,0,1
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Gastropoda,0,0,0,Cephalaspidea,0,0,0,Haminoeidae,0,0,0,Haminoea,0,0,0,Haminoea virescens,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Polynoidae,0,0,0,Halosydna,0,0,0,Halosydna brevisetosa,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Temoridae,0,0,0,Eurytemora,0,0,0,Eurytemora americana,0,0,0,0,1
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Tortanidae,142,0.09818482614543875,1,Tortanus,142,0.09818482614543875,1,Tortanus discaudatus,142,0.09889120615672795,1,0,1
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Clausocalanidae,39928,0.8352476619158952,1,Pseudocalanus,39928,0.8352476619158952,1,Pseudocalanus acuspes,543,0.3688162381871761,1,0,1
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Hydrozoa,636,0.014910384651711125,1,Siphonophorae,0,0,0,Agalmatidae,0,0,0,Agalma,0,0,0,Agalma elegans,0,0,0,0,1
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Clausocalanidae,39928,0.8352476619158952,1,Pseudocalanus,39928,0.8352476619158952,1,Pseudocalanus newmani,0,0,0,0,1
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Gastropoda,0,0,0,Lepetellida,0,0,0,Haliotidae,0,0,0,Haliotis,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Gastropoda,0,0,0,Trochida,0,0,0,Calliostomatidae,0,0,0,Calliostoma,0,0,0,Calliostoma ligatum,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Maxillopoda,0,0,0,Sessilia,0,0,0,Archaeobalanidae,0,0,0,Semibalanus,0,0,0,Semibalanus cariosus,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Calanidae,121,0.0059877178036944175,1,Calanus,121,0.0059877178036944175,1,Calanus pacificus,121,0.006030795785657792,1,0,1
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Pontellidae,0,0,0,Epilabidocera,0,0,0,Epilabidocera amphitrites,0,0,0,0,1
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Maxillopoda,0,0,0,Sessilia,0,0,0,Balanidae,0,0,0,Balanus,0,0,0,Balanus glandula,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Hydrozoa,636,0.014910384651711125,1,Anthoathecata,0,0,0,Corynidae,0,0,0,Sarsia,0,0,0,Sarsia tubulosa,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Malacostraca,0,0,0,Euphausiacea,0,0,0,Euphausiidae,0,0,0,Thysanoessa,0,0,0,Thysanoessa spinifera,0,0,0,0,1
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Phyllodocidae,0,0,0,Phyllodoce,0,0,0,Phyllodoce medipapillata,0,0,0,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Gastropoda,0,0,0,Trochida,0,0,0,Turbinidae,0,0,0,Pomaulax,0,0,0,Pomaulax gibberosus,0,0,0,0,0
GH001,Animalia,Sipuncula,0,0,0,Phascolosomatidea,0,0,0,Phascolosomatiformes,0,0,0,Phascolosomatidae,0,0,0,Phascolosoma,0,0,0,Phascolosoma agassizii,0,0,0,0,0
GH001,Animalia,Echinodermata,0,0,0,Asteroidea,0,0,0,Valvatida,0,0,0,Asteropseidae,0,0,0,Dermasterias,0,0,0,Dermasterias imbricata,0,0,0,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Bivalvia,649,0.025589959352476325,1,Venerida,528,0.112880090200446,1,Veneridae,528,0.112880090200446,1,Saxidomus,456,0.5486793518836135,1,Saxidomus nuttalli,180,0.26948480845442535,1,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Maxillopoda,0,0,0,Sessilia,0,0,0,Balanidae,0,0,0,Balanus,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Polynoidae,0,0,0,Hololepida,0,0,0,Hololepida magna,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Echiuroidea,0,0,0,Thalassematidae,0,0,0,Arhynchite,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Polynoidae,0,0,0,Malmgreniella,0,0,0,Malmgreniella nigralba,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Chrysopetalidae,0,0,0,Paleanotus,0,0,0,Paleanotus bellis,0,0,0,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Bivalvia,649,0.025589959352476325,1,Myida,0,0,0,Myidae,0,0,0,Mya,0,0,0,Mya arenaria,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Hydrozoa,636,0.014910384651711125,1,Leptothecata,636,0.014925886113854113,1,Eirenidae,636,1,1,Eutonina,636,1,1,Eutonina indicans,636,1,1,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Nereididae,0,0,0,Platynereis,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Malacostraca,0,0,0,Euphausiacea,0,0,0,Euphausiidae,0,0,0,Euphausia,0,0,0,Euphausia pacifica,0,0,0,0,1
GH001,Animalia,Nemertea,0,0,0,Hoplonemertea,0,0,0,Monostilifera,0,0,0,Emplectonematidae,0,0,0,Paranemertes,0,0,0,Paranemertes californica,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Maxillopoda,0,0,0,Sessilia,0,0,0,Balanidae,0,0,0,Balanus,0,0,0,Balanus nubilus,0,0,0,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Bivalvia,649,0.025589959352476325,1,Galeommatida,0,0,0,Lasaeidae,0,0,0,Kellia,0,0,0,Kellia suborbicularis,0,0,0,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Bivalvia,649,0.025589959352476325,1,Venerida,528,0.112880090200446,1,Veneridae,528,0.112880090200446,1,Saxidomus,456,0.5486793518836135,1,Saxidomus gigantea,276,0.33271329935447297,1,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Terebellida,0,0,0,Pectinariidae,0,0,0,Pectinaria,0,0,0,Pectinaria californiensis,0,0,0,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Gastropoda,0,0,0,Littorinimorpha,0,0,0,Littorinidae,0,0,0,Lacuna,0,0,0,Lacuna variegata,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Eunicida,0,0,0,Dorvilleidae,0,0,0,Schistomeringos,0,0,0,Schistomeringos longicornis,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Hydrozoa,636,0.014910384651711125,1,Anthoathecata,0,0,0,Pandeidae,0,0,0,Leuckartiara,0,0,0,Leuckartiara longicalcar,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Maxillopoda,0,0,0,Sessilia,0,0,0,Archaeobalanidae,0,0,0,Semibalanus,0,0,0,Semibalanus balanoides,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Hydrozoa,636,0.014910384651711125,1,Leptothecata,636,0.014925886113854113,1,Campanulariidae,0,0,0,Obelia,0,0,0,Obelia dichotoma,0,0,0,0,0
GH001,Animalia,Porifera,0,0,0,Demospongiae,0,0,0,Suberitida,0,0,0,Halichondriidae,0,0,0,Halichondria,0,0,0,Halichondria panicea,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Staurozoa,0,0,0,Stauromedusae,0,0,0,Haliclystidae,0,0,0,Haliclystus,0,0,0,Haliclystus sanjuanensis,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Clausocalanidae,39928,0.8352476619158952,1,Pseudocalanus,39928,0.8352476619158952,1,Pseudocalanus moultoni,0,0,0,0,1
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Goniadidae,0,0,0,Glycinde,0,0,0,Glycinde picta,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Hydrozoa,636,0.014910384651711125,1,Siphonophorae,0,0,0,Agalmatidae,0,0,0,Nanomia,0,0,0,Nanomia bijuga,0,0,0,0,1
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Hydrozoa,636,0.014910384651711125,1,Anthoathecata,0,0,0,Proboscidactylidae,0,0,0,Proboscidactyla,0,0,0,Proboscidactyla flavicirrata,0,0,0,0,0
GH001,Animalia,Porifera,0,0,0,Demospongiae,0,0,0,Haplosclerida,0,0,0,Chalinidae,0,0,0,Haliclona,0,0,0,Haliclona xena,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Anthozoa,0,0,0,Actiniaria,0,0,0,Metridiidae,0,0,0,Metridium,0,0,0,Metridium dianthus,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Calanidae,121,0.0059877178036944175,1,Calanus,121,0.0059877178036944175,1,NA,354,NA,NA,0,1
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Sabellida,0,0,0,Sabellidae,0,0,0,Myxicola,0,0,0,Myxicola aesthetica,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Maxillopoda,0,0,0,Pedunculata,0,0,0,Pollicipedidae,0,0,0,Pollicipes,0,0,0,Pollicipes polymerus,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Scyphozoa,0,0,0,Semaeostomeae,0,0,0,Ulmaridae,0,0,0,Aurelia,0,0,0,Aurelia labiata,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Malacostraca,0,0,0,Decapoda,0,0,0,Pinnotheridae,0,0,0,Fabia,0,0,0,Fabia subquadrata,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Nereididae,0,0,0,Nereis,0,0,0,Nereis vexillosa,0,0,0,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Gastropoda,0,0,0,Nudibranchia,0,0,0,Myrrhinidae,0,0,0,Hermissenda,0,0,0,Hermissenda crassicornis,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Sigalionidae,204,1,1,Sthenelais,204,1,1,Sthenelais berkeleyi,204,1,1,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Cephalopoda,0,0,0,Octopoda,0,0,0,Enteroctopodidae,0,0,0,Enteroctopus,0,0,0,Enteroctopus dofleini,0,0,0,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Bivalvia,649,0.025589959352476325,1,Cardiida,121,0.18408151563456351,1,Tellinidae,110,0.1673468323950577,1,Pseudocadella,110,1,1,Pseudocadella nuculoides,110,1,1,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Gastropoda,0,0,0,Nudibranchia,0,0,0,Tethydidae,0,0,0,Melibe,0,0,0,Melibe leonina,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Eunicida,0,0,0,Onuphidae,0,0,0,Diopatra,0,0,0,Diopatra ornata,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Phyllodocida,204,0.005983383522241769,1,Syllidae,0,0,0,Syllis,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Porifera,0,0,0,Demospongiae,0,0,0,Clionaida,0,0,0,Clionaidae,0,0,0,Cliona,0,0,0,Cliona chilensis,0,0,0,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Calanoida,47328,0.9549829496156097,1,Paracalanidae,354,0.031235008250562694,1,Paracalanus,354,0.031235008250562694,1,Paracalanus parvus,0,0,0,0,1
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Hydrozoa,636,0.014910384651711125,1,Leptothecata,636,0.014925886113854113,1,Aglaopheniidae,0,0,0,Aglaophenia,0,0,0,Aglaophenia struthionides,0,0,0,0,0
GH001,Animalia,Echinodermata,0,0,0,Holothuroidea,0,0,0,Synallactida,0,0,0,Stichopodidae,0,0,0,Apostichopus,0,0,0,Apostichopus californicus,0,0,0,0,0
GH001,Animalia,Cnidaria,636,0.013873986114690144,1,Scyphozoa,0,0,0,Semaeostomeae,0,0,0,Ulmaridae,0,0,0,Aurelia,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Hexanauplia,48049,0.9695312657640388,1,Harpacticoida,0,0,0,Harpacticidae,0,0,0,Harpacticus,0,0,0,NA,354,NA,NA,0,0
GH001,Animalia,Arthropoda,48070,0.9699550031275853,1,Malacostraca,0,0,0,Decapoda,0,0,0,Varunidae,0,0,0,Hemigrapsus,0,0,0,Hemigrapsus nudus,0,0,0,0,0
GH001,Animalia,Nemertea,0,0,0,Pilidiophora,0,0,0,Heteronemertea,0,0,0,Lineidae,0,0,0,Maculaura,0,0,0,Maculaura alaskensis,0,0,0,0,0
GH001,Animalia,Mollusca,649,0.019367558709926815,1,Gastropoda,0,0,0,Neogastropoda,0,0,0,Columbellidae,0,0,0,Alia,0,0,0,Alia carinata,0,0,0,0,0
GH001,Animalia,Annelida,204,0.005983383522241769,1,Polychaeta,204,0.005983383522241769,1,Sabellida,0,0,0,Sabellidae,0,0,0,Myxicola,0,0,0,NA,354,NA,NA,0,0
