sample_id,type,site,habitat,lat,long,date,time_collected,volume,start_filtering,end_filtering,interuption,sample_site,dts_m,long_nsp,lat_nsp,GH001,GH002,GH003,GH004,GH005,GH006,GH007,GH008,GH009,GH010,GH011,GH012,GH013,GH014,GH015,GH016,GH017,GH018,GH046,GH047,GH048,GH061,GH062,GH063,GH058,GH059,GH060,GH070,GH071,GH072,GH073,GH074,GH075,GH082,GH083,GH084,GH085,GH086,GH087,GH097,GH098,GH099,GH100,GH101,GH102,GH103,GH104,GH105,GH115,GH116,GH117,GH118,GH119,GH120,GH121,GH122,GH123,GH019,GH020,GH021,GH022,GH023,GH024,GH025,GH026,GH027,GH037,GH038,GH039,GH040,GH041,GH042,GH043,GH044,GH045,GH049,GH050,GH051,GH052,GH053,GH054,GH055,GH056,GH057,GH064,GH065,GH066,GH067,GH068,GH069,GH076,GH077,GH078,GH079,GH080,GH081,GH088,GH089,GH090,GH091,GH092,GH093,GH094,GH095,GH096,GH106,GH107,GH108,GH109,GH110,GH111,GH112,GH113,GH114,GH028,GH029,GH030,GH031,GH032,GH033,GH034,GH035,coast_face
GH001,Offshore,Point 1,Pelagic,50.64450196,-127.19492968,2019-06-22,07:05:00,1000,7:18,9:22,,Point 1 - Pelagic,2267.546373447988,-127.21333452791384,50.627813438149985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,east
GH002,Offshore,Point 1,Pelagic,50.64385786,-127.19491191,2019-06-22,07:08:00,1000,7:25,9:29,,Point 1 - Pelagic,2210.0151365263814,-127.21333452791384,50.627813438149985,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,east
GH003,Offshore,Point 1,Pelagic,50.64411812,-127.19486774,2019-06-22,07:11:00,1000,7:29,9:42,,Point 1 - Pelagic,2235.28452439782,-127.21333452791384,50.627813438149985,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,east
GH004,Offshore,Point 2,Pelagic,51.01567121,-127.84104094,2019-06-22,11:23:00,1000,11:36,13:14,,Point 2 - Pelagic,6869.417995619203,-127.74697226706073,51.0327959155285,62.39696961966995,62.81118318204305,62.81118318204305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,west
GH005,Offshore,Point 2,Pelagic,51.01513505,-127.84137474,2019-06-22,11:24:00,1000,11:38,13:21,,Point 2 - Pelagic,6908.684556832505,-127.74697226706073,51.0327959155285,62.39696961966995,62.81118318204305,62.81118318204305,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,west
GH006,Offshore,Point 2,Pelagic,51.01494491,-127.84175679,2019-06-22,11:26:00,1000,11:40,13:10,,Point 2 - Pelagic,6940.423125919535,-127.74697226706073,51.0327959155285,62.39696961966995,62.81118318204305,62.81118318204305,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,west
GH007,Offshore,Point 3,Pelagic,51.24070862,-127.90242551,2019-06-22,14:22:00,1000,14:39,17:50,,Point 3 - Pelagic,4589.504488779539,-127.83813152265913,51.249274320911425,86.88225099390854,87.88225099390854,87.88225099390854,26.242640687119284,26.242640687119284,26.242640687119284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,west
GH008,Offshore,Point 3,Pelagic,51.24077522,-127.90264855,2019-06-22,14:21:00,1000,14:39,17:50,,Point 3 - Pelagic,4603.209608816258,-127.83813152265913,51.249274320911425,86.88225099390854,87.88225099390854,87.88225099390854,26.242640687119284,26.242640687119284,26.242640687119284,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,west
GH009,Offshore,Point 3,Pelagic,51.24052146,-127.90259214,2019-06-22,14:20:00,1000,14:39,17:55,,Point 3 - Pelagic,4605.253627034652,-127.83813152265913,51.249274320911425,86.88225099390854,87.88225099390854,87.88225099390854,26.242640687119284,26.242640687119284,26.242640687119284,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,west
GH010,Offshore,Point 4,Pelagic,51.64083935,-127.91169246,2019-06-22,16:59:00,1000,19:05,21:55,,Point 4 - Pelagic,2302.386379555425,-127.9383454785013,51.62846437119449,131.88225099390874,132.88225099390874,132.88225099390874,71.24264068711929,71.24264068711929,71.24264068711929,47.48528137423856,47.48528137423856,47.48528137423856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,east
