sample_id,query,asv_read_index,asv_read_raw,asv_pa,kingdom,metazoa_terrestrial
GH001,ASV1,3.3094560788979515e-5,88,1,Metazoa,0
GH001,ASV2,0.0021645686989273834,5050,1,Metazoa,0
GH001,ASV3,0.007283120859820311,5864,1,Metazoa,0
GH001,ASV4,0,0,0,Metazoa,0
GH001,ASV5,0,0,0,Metazoa,0
GH001,ASV6,0,0,0,Metazoa,0
GH001,ASV7,0,0,0,Metazoa,0
GH001,ASV8,0,0,0,Metazoa,0
GH001,ASV9,0,0,0,Metazoa,0
GH001,ASV10,0,0,0,Metazoa,0
GH001,ASV11,0.00932506327780162,2225,1,Metazoa,0
GH001,ASV12,0,0,0,Metazoa,0
GH001,ASV13,0,0,0,Metazoa,0
GH001,ASV14,7.937522392708647e-5,15,1,Metazoa,0
GH001,ASV15,0,0,0,Metazoa,0
GH001,ASV16,0,0,0,Metazoa,0
GH001,ASV17,0,0,0,Metazoa,0
GH001,ASV18,0,0,0,Metazoa,0
GH001,ASV19,0,0,0,Metazoa,0
GH001,ASV20,0,0,0,Metazoa,0
GH001,ASV21,0,0,0,Metazoa,0
GH001,ASV22,0,0,0,Metazoa,0
GH001,ASV23,0,0,0,NA,0
GH001,ASV24,0,0,0,Metazoa,0
GH001,ASV25,0,0,0,Metazoa,0
GH001,ASV26,0,0,0,Metazoa,0
GH001,ASV27,0,0,0,Metazoa,0
GH001,ASV28,0,0,0,Metazoa,0
GH001,ASV29,0,0,0,Metazoa,0
GH001,ASV30,0,0,0,Metazoa,0
GH001,ASV31,0,0,0,Metazoa,0
GH001,ASV32,0,0,0,Metazoa,0
GH001,ASV33,0,0,0,Metazoa,0
GH001,ASV34,0,0,0,Metazoa,0
GH001,ASV35,0,0,0,Metazoa,0
GH001,ASV36,0,0,0,Metazoa,0
GH001,ASV37,0,0,0,Metazoa,0
GH001,ASV38,0,0,0,Metazoa,0
GH001,ASV39,0,0,0,Metazoa,0
GH001,ASV40,0,0,0,Metazoa,0
